Vancouver,Max of Vancouver,,Vancouver
250,279.99,,250
260,279.49,,260
220,279.47,,220
220,279.46,,220
230,280.79,,230
230,281.66,,230
210,282.8,,210
200,282.97,,200
210,282.91,,210
220,282.97,,220
130,282.67,,130
0,281.52,,0
100,280.86,,100
110,280.12,,110
100,280.06,,100
90,279.54,,90
50,279.03,,50
70,278.92,,70
90,278.58,,90
90,278.05,,90
90,277.58,,90
100,277.14,,100
50,276.61,,50
0,276.73,,0
140,276.94,,140
150,276.94,,150
120,276.96,,120
320,277.11,,320
0,277.83,,0
310,279.42,,310
300,281.02,,300
300,281.46,,300
300,281.83,,300
300,281.92,,300
290,282.4,,290
300,281.9,,300
300,280.59,,300
300,279.91,,300
10,279.07,,10
20,278.74,,20
100,278.58,,100
0,278.01,,0
0,277.24,,0
0,277.31,,0
170,277.11,,170
0,276.49,,0
0,275.6,,0
0,275.29,,0
0,275,,0
0,275.19,,0
100,274.99,,100
100,275.37,,100
130,276.31,,130
0,277.97,,0
310,279.05,,310
290,280.16,,290
300,280.36,,300
280,280.87,,280
260,280.47,,260
280,279.68,,280
310,278.62,,310
310,277.64,,310
80,277.97,,80
120,277.75,,120
120,277.52,,120
120,277.14,,120
90,277.11,,90
90,276.91,,90
80,276.15,,80
80,275.99,,80
0,275.86,,0
130,275.7,,130
130,275.65,,130
90,275.27,,90
160,274.57,,160
110,274.53,,110
100,275.35,,100
170,276.19,,170
210,278.04,,210
180,278.23,,180
270,278.8,,270
270,278.49,,270
210,278.7,,210
240,277.81,,240
260,276.02,,260
0,274.94,,0
0,274.02,,0
31,276.38,,31
62,278.74,,62
62,278.74,,62
118,278.18,,118
118,278.18,,118
118,278.18,,118
118,278.18,,118
118,278.18,,118
118,278.18,,118
104,277.95,,104
104,277.95,,104
104,277.95,,104
110,275.21,,110
90,275.7,,90
110,276.26,,110
70,277.08,,70
80,277.55,,80
80,277.27,,80
90,277,,90
80,276.75,,80
60,276.9,,60
60,276.98,,60
70,277.02,,70
60,277.15,,60
70,277.21,,70
70,277.15,,70
80,277.43,,80
70,277.38,,70
70,277.44,,70
70,277.55,,70
70,277.6,,70
90,277.86,,90
110,277.82,,110
100,277.75,,100
100,277.86,,100
180,278.06,,180
90,278.16,,90
100,277.82,,100
90,277.99,,90
80,279.42,,80
90,279.5,,90
90,279.97,,90
49,280.3,,49
120,280.38,,120
90,279.79,,90
90,279.71,,90
70,279.59,,70
80,280.01,,80
70,280.1,,70
90,280.05,,90
110,280.12,,110
90,280.22,,90
90,280.02,,90
70,280.08,,70
70,279.97,,70
70,280.13,,70
90,280.29,,90
80,280.29,,80
70,280.29,,70
90,280.34,,90
100,280.34,,100
100,280.56,,100
100,280.88,,100
130,280.75,,130
120,281.05,,120
120,281.35,,120
110,281.08,,110
100,281.44,,100
90,281.07,,90
90,281.04,,90
100,280.71,,100
